Repeat_Class,Sub_Class,Percentage
LINES,L2/CR1/Rex,0.14
LINES,R1/LOA/Jocket,0.62
LINES,R2/R4/NeSL,0.01
LINES,RTE/BOV-B,0.16
LINES,L1/CIN4,0.09
LINES,Unclassified,1.04
LTR,BEL/Pao,1.7
LTR,Ty1/Copia,3.24
LTR,Gypsy/DIRS1,7.9
LTR,Unclassified,3.62
Transposons,hobo-Activator,0.76
Transposons,Tc1-IS630-Pogo,4.27
Transposons,PiggyBac,0.09
Transposons,Tourist/Harbinger,0.04
Transposons,Other,0.17
Transposons,Unclassified,3.23
Rolling-circles,,0.9
Unclassified,,25.84
Simple_Repeats,,0.78
Low_Complexity,,0.1
