"","V1","total_V4"
"1","ptg000001l_1_1_1",20162174
"2","ptg000002l_1_1_1",14265985
"3","ptg000003l_1_1_1",61155028
"4","ptg000004l_1_1_1",33233493
"5","ptg000005l_1_1_1",9630700
"6","ptg000006l_1_1_1",34593678
"7","ptg000007l_1_1_1",87075680
"8","ptg000008l_1_1_1",61244784
"9","ptg000009l_1_1_1",4801299
"10","ptg000010l_1_1_1",9422192
"11","ptg000011l_1_1_1",13056404
"12","ptg000012l_1_1_1",5272332
"13","ptg000013l_1_1_1",31511890
"14","ptg000014l_1_1_1",12084087
"15","ptg000015l_1_1_1",5227939
"16","ptg000016l_1_1_1",8940325
"17","ptg000017l_1_1_1",10643201
"18","ptg000018l_1_1_1",37603401
"19","ptg000019l_1_1_1",10692594
"20","ptg000020l_1_1_1",41654669
"21","ptg000021l_1_1_1",27347899
"22","ptg000022l_1_1_1",16464396
"23","ptg000023l_1_1_1",10220246
"24","ptg000024l_1_1_1",7028248
"25","ptg000025l_1_1_1",1805201
"26","ptg000026l_1_1_1",6877345
"27","ptg000027l_1_1_1",20869424
"28","ptg000028l_1_1_1",12233594
"29","ptg000029l_1_1_1",2174353
"30","ptg000030l_1_1_1",7882338
"31","ptg000031l_1_1_1",13071604
"32","ptg000032l_1_1_1",13345258
"33","ptg000033l_1_1_1",6694586
"34","ptg000034l_1_1_1",24474179
"35","ptg000035l_1_1_1",4490524
"36","ptg000036l_1_1_1",17354786
"37","ptg000037l_1_1_1",11717273
"38","ptg000038l_1_1_1",16855872
"39","ptg000039l_1_1_1",62385098
"40","ptg000040l_1_1_1",13338679
"41","ptg000041l_1_1_1",8375682
"42","ptg000042l_1_1_1",5378355
"43","ptg000043l_1_1_1",22305223
"44","ptg000044l_1_1_1",36345208
"45","ptg000045l_1_1_1",18114856
"46","ptg000046l_1_1_1",16771839
"47","ptg000047l_1_1_1",8871142
"48","ptg000048l_1_1_1",10351827
"49","ptg000049l_1_1_1",20298439
"50","ptg000050l_1_1_1",8164669
"51","ptg000051l_1_1_1",12775968
"52","ptg000052l_1_1_1",7077955
"53","ptg000053l_1_1_1",20053374
"54","ptg000054l_1_1_1",8461237
"55","ptg000055l_1_1_1",18005859
"56","ptg000056l_1_1_1",4269251
"57","ptg000057l_1_1_1",7363662
"58","ptg000058l_1_1_1",28043396
"59","ptg000059l_1_1_1",1511010
"60","ptg000060l_1_1_1",5624321
"61","ptg000061l_1_1_1",22028631
"62","ptg000062l_1_1_1",16961516
"63","ptg000063l_1_1_1",22119740
"64","ptg000064l_1_1_1",9817622
"65","ptg000065l_1_1_1",13449858
"66","ptg000066l_1_1_1",9638608
"67","ptg000068l_1_1_1",11476006
"68","ptg000069l_1_1_1",11906379
"69","ptg000070l_1_1_1",1861399
"70","ptg000071l_1_1_1",5546424
"71","ptg000072l_1_1_1",5301594
"72","ptg000073l_1_1_1",6219761
"73","ptg000074l_1_1_1",9874664
"74","ptg000075l_1_1_1",9676998
"75","ptg000076l_1_1_1",4391224
"76","ptg000077l_1_1_1",11690302
"77","ptg000078l_1_1_1",10962624
"78","ptg000079l_1_1_1",5653018
"79","ptg000080l_1_1_1",11694389
"80","ptg000081l_1_1_1",9631435
"81","ptg000082l_1_1_1",19844091
"82","ptg000083l_1_1_1",7585471
"83","ptg000084l_1_1_1",3209631
"84","ptg000085l_1_1_1",5359197
"85","ptg000086l_1_1_1",12082266
"86","ptg000087l_1_1_1",4973271
"87","ptg000088l_1_1_1",3363273
"88","ptg000089l_1_1_1",17095032
"89","ptg000090l_1_1_1",10539981
"90","ptg000091l_1_1_1",8811403
"91","ptg000092l_1_1_1",9856797
"92","ptg000093l_1_1_1",5679528
"93","ptg000094l_1_1_1",5490614
"94","ptg000095l_1_1_1",16522725
"95","ptg000096l_1_1_1",2150388
"96","ptg000097l_1_1_1",2746883
"97","ptg000098l_1_1_1",5578901
"98","ptg000099l_1_1_1",4961374
"99","ptg000100l_1_1_1",7898095
"100","ptg000101l_1_1_1",6976072
"101","ptg000103l_1_1_1",5887578
"102","ptg000104l_1_1_1",11664255
"103","ptg000106l_1_1_1",1183344
"104","ptg000107l_1_1_1",3621434
"105","ptg000108l_1_1_1",8264002
"106","ptg000109l_1_1_1",12838847
"107","ptg000110l_1_1_1",4096523
"108","ptg000111l_1_1_1",2792020
"109","ptg000112l_1_1_1",11136315
"110","ptg000113l_1_1_1",1724734
"111","ptg000114l_1_1_1",4855696
"112","ptg000115l_1_1_1",2717951
"113","ptg000116l_1_1_1",4811492
"114","ptg000118l_1_1_1",7148209
"115","ptg000119l_1_1_1",5535625
"116","ptg000121l_1_1_1",1957257
"117","ptg000122l_1_1_1",3441495
"118","ptg000123l_1_1_1",6269468
"119","ptg000124l_1_1_1",7794220
"120","ptg000127l_1_1_1",231971
"121","ptg000128l_1_1_1",3607900
"122","ptg000129l_1_1_1",362644
"123","ptg000130l_1_1_1",2798806
"124","ptg000131l_1_1_1",6336922
"125","ptg000132l_1_1_1",3152133
"126","ptg000133l_1_1_1",1911602
"127","ptg000134l_1_1_1",5723328
"128","ptg000135l_1_1_1",20297183
"129","ptg000136l_1_1_1",7222375
"130","ptg000138l_1_1_1",3926987
"131","ptg000140l_1_1_1",2386019
"132","ptg000141l_1_1_1",1812644
"133","ptg000142l_1_1_1",684277
"134","ptg000143l_1_1_1",916568
"135","ptg000144l_1_1_1",2739410
"136","ptg000145l_1_1_1",7065305
"137","ptg000147l_1_1_1",780723
"138","ptg000148l_1_1_1",3614705
"139","ptg000149l_1_1_1",3502421
"140","ptg000150l_1_1_1",733219
"141","ptg000151l_1_1_1",7191997
"142","ptg000152l_1_1_1",1265871
"143","ptg000154l_1_1_1",4462718
"144","ptg000157l_1_1_1",660099
"145","ptg000158l_1_1_1",1591360
"146","ptg000159l_1_1_1",812202
"147","ptg000164l_1_1_1",1210052
"148","ptg000166l_1_1_1",5071208
"149","ptg000167l_1_1_1",1090435
"150","ptg000169l_1_1_1",5744706
"151","ptg000170l_1_1_1",2427971
"152","ptg000171l_1_1_1",4796436
"153","ptg000172l_1_1_1",2456546
"154","ptg000178l_1_1_1",10365546
"155","ptg000181l_1_1_1",8921127
"156","ptg000184l_1_1_1",483740
"157","ptg000185l_1_1_1",1770055
"158","ptg000191l_1_1_1",561656
"159","ptg000192l_1_1_1",460845
"160","ptg000199l_1_1_1",589807
"161","ptg000200l_1_1_1",217135
"162","ptg000205c_1_1_1",233990
"163","ptg000206l_1_1_1",100388
"164","ptg000209l_1_1_1",661767
"165","ptg000263c_1_1_1",245397
"166","ptg000266l_1_1_1",79823
"167","ptg000285l_1_1_1",343975
"168","ptg000333l_1_1_1",168314
"169","ptg000379l_1_1_1",35102
"170","ptg000388l_1_1_1",5392
