Contig,Contig_Lengths,Repeat_Lengths,Repeat_Percentage
ptg000001l ,37429280,20162174,53.86738404
ptg000002l ,32751750,14265985,43.55793202
ptg000003l ,122047351,61155028,50.10762421
ptg000004l ,57910650,33233493,57.38753235
ptg000005l ,19581554,9630700,49.18251126
ptg000006l ,63423365,34593678,54.54405959
ptg000007l ,138439425,87075680,62.89803645
ptg000008l ,95023220,61244784,64.45244015
ptg000009l ,6850945,4801299,70.08228792
ptg000010l ,19643342,9422192,47.96633893
ptg000011l ,24653130,13056404,52.96043139
ptg000012l ,8059143,5272332,65.42050439
ptg000013l ,63394822,31511890,49.70735623
ptg000014l ,22455642,12084087,53.81314415
ptg000015l ,8796092,5227939,59.43479218
ptg000016l ,18604478,8940325,48.05469414
ptg000017l ,23047892,10643201,46.178631
ptg000018l ,76136713,37603401,49.38931498
ptg000019l ,21385767,10692594,49.9986463
ptg000020l ,72835694,41654669,57.18991158
ptg000021l ,50584886,27347899,54.06337972
ptg000022l ,33317403,16464396,49.41680479
ptg000023l ,17573594,10220246,58.15683462
ptg000024l ,14282005,7028248,49.21051351
ptg000025l ,3980142,1805201,45.35519084
ptg000026l ,10471225,6877345,65.67851421
ptg000027l ,44540856,20869424,46.85456427
ptg000028l ,25490759,12233594,47.99227045
ptg000029l ,4226300,2174353,51.44814613
ptg000030l ,12092599,7882338,65.18315872
ptg000031l ,26849545,13071604,48.68463879
ptg000032l ,23051871,13345258,57.89229863
ptg000033l ,14092028,6694586,47.50619286
ptg000034l ,47208081,24474179,51.8431982
ptg000035l ,9655288,4490524,46.5084418
ptg000036l ,36937646,17354786,46.98400651
ptg000037l ,23590038,11717273,49.67042868
ptg000038l ,28769830,16855872,58.58870907
ptg000039l ,105072299,62385098,59.37349672
ptg000040l ,21240179,13338679,62.79927773
ptg000041l ,16523431,8375682,50.68972661
ptg000042l ,12951034,5378355,41.52838298
ptg000043l ,40062544,22305223,55.6760025
ptg000044l ,73729155,36345208,49.29557107
ptg000045l ,38991486,18114856,46.45849096
ptg000046l ,31060289,16771839,53.99769139
ptg000047l ,17271654,8871142,51.36243466
ptg000048l ,23378557,10351827,44.2791529
ptg000049l ,37068225,20298439,54.75967355
ptg000050l ,16861059,8164669,48.42322775
ptg000051l ,27122812,12775968,47.10414245
ptg000052l ,13063149,7077955,54.18260942
ptg000053l ,32001856,20053374,62.66315929
ptg000054l ,13299101,8461237,63.62262381
ptg000055l ,29093483,18005859,61.88966443
ptg000056l ,8913397,4269251,47.8970139
ptg000057l ,11117784,7363662,66.233181
ptg000058l ,56201030,28043396,49.89836663
ptg000059l ,2713453,1511010,55.68587331
ptg000060l ,6663411,5624321,84.40603469
ptg000061l ,36514757,22028631,60.328023
ptg000062l ,30862642,16961516,54.95808168
ptg000063l ,45241508,22119740,48.89257891
ptg000064l ,18788417,9817622,52.25358794
ptg000065l ,21998501,13449858,61.13988403
ptg000066l ,18860614,9638608,51.10442322
ptg000068l ,22005599,11476006,52.15039136
ptg000069l ,16189842,11906379,73.5422804
ptg000070l ,4523390,1861399,41.15053091
ptg000071l ,9516500,5546424,58.28218358
ptg000072l ,9576166,5301594,55.36238616
ptg000073l ,9128545,6219761,68.13529429
ptg000074l ,18427138,9874664,53.58761626
ptg000075l ,22568515,9676998,42.87831078
ptg000076l ,8717234,4391224,50.37405214
ptg000077l ,22345339,11690302,52.31651218
ptg000078l ,24299149,10962624,45.11525897
ptg000079l ,11284540,5653018,50.09524535
ptg000080l ,21274781,11694389,54.96831671
ptg000081l ,18646086,9631435,51.65392351
ptg000082l ,37558873,19844091,52.83462845
ptg000083l ,14932590,7585471,50.7980933
ptg000084l ,5164751,3209631,62.14493206
ptg000085l ,9353485,5359197,57.29625909
ptg000086l ,24887768,12082266,48.5470051
ptg000087l ,6376621,4973271,77.99226267
ptg000088l ,5297517,3363273,63.48772453
ptg000089l ,32486532,17095032,52.62190498
ptg000090l ,19934974,10539981,52.87180711
ptg000091l ,18642507,8811403,47.26511837
ptg000092l ,12199987,9856797,80.79350412
ptg000093l ,10146649,5679528,55.97442072
ptg000094l ,10773984,5490614,50.96177978
ptg000095l ,28690986,16522725,57.5885576
ptg000096l ,4774157,2150388,45.04225563
ptg000097l ,5427720,2746883,50.60841385
ptg000098l ,5582405,5578901,99.93723135
ptg000099l ,9176134,4961374,54.06823832
ptg000100l ,13515166,7898095,58.43875688
ptg000101l ,13802747,6976072,50.54118575
ptg000103l ,11670392,5887578,50.44884525
ptg000104l ,17319085,11664255,67.34914114
ptg000106l ,4459123,1183344,26.53759495
ptg000107l ,7316065,3621434,49.49975157
ptg000108l ,10937729,8264002,75.55500781
ptg000109l ,22329033,12838847,57.49844608
ptg000110l ,7886691,4096523,51.94222774
ptg000111l ,5035226,2792020,55.44974545
ptg000112l ,22638298,11136315,49.19236861
ptg000113l ,2719664,1724734,63.41717212
ptg000114l ,8636871,4855696,56.22054561
ptg000115l ,5371032,2717951,50.60388767
ptg000116l ,8508750,4811492,56.54757749
ptg000118l ,13526285,7148209,52.84680162
ptg000119l ,8649007,5535625,64.00301214
ptg000121l ,2859729,1957257,68.44204468
ptg000122l ,5457072,3441495,63.06486336
ptg000123l ,11028949,6269468,56.84556162
ptg000124l ,13169419,7794220,59.18423584
ptg000127l ,469841,231971,49.37223444
ptg000128l ,6885074,3607900,52.40176068
ptg000129l ,534180,362644,67.88797784
ptg000130l ,4874062,2798806,57.4224538
ptg000131l ,9880573,6336922,64.13516706
ptg000132l ,7391405,3152133,42.64592456
ptg000133l ,6453931,1911602,29.61918868
ptg000134l ,8257566,5723328,69.31010906
ptg000135l ,39794711,20297183,51.00472523
ptg000136l ,12782404,7222375,56.50247794
ptg000138l ,6677052,3926987,58.81318582
ptg000140l ,5458451,2386019,43.71238287
ptg000141l ,3057915,1812644,59.27712183
ptg000142l ,1187308,684277,57.6326446
ptg000143l ,1664522,916568,55.06493756
ptg000144l ,5339572,2739410,51.30392473
ptg000145l ,11964048,7065305,59.05446886
ptg000147l ,1638600,780723,47.64573416
ptg000148l ,7241783,3614705,49.91457214
ptg000149l ,7510078,3502421,46.63627994
ptg000150l ,1398681,733219,52.42217489
ptg000151l ,9560789,7191997,75.22388581
ptg000152l ,2948365,1265871,42.93467736
ptg000154l ,7905052,4462718,56.45399929
ptg000157l ,1065490,660099,61.95262274
ptg000158l ,2696131,1591360,59.02383823
ptg000159l ,1412120,812202,57.51650001
ptg000164l ,2427473,1210052,49.84821664
ptg000166l ,5307684,5071208,95.5446481
ptg000167l ,2110831,1090435,51.65903855
ptg000169l ,10649484,5744706,53.94351501
ptg000170l ,4018609,2427971,60.41819445
ptg000171l ,5761424,4796436,83.25087687
ptg000172l ,3172922,2456546,77.42219947
ptg000178l ,15606556,10365546,66.41789515
ptg000181l ,15041562,8921127,59.30984428
ptg000184l ,920218,483740,52.56797846
ptg000185l ,3295576,1770055,53.7100343
ptg000191l ,1114889,561656,50.37775061
ptg000192l ,645253,460845,71.42082253
ptg000199l ,931960,589807,63.28672904
ptg000200l ,510496,217135,42.53412368
ptg000205c ,401815,233990,58.23326655
ptg000206l ,243785,100388,41.17890764
ptg000209l ,1027063,661767,64.43295105
ptg000263c ,371746,245397,66.0120082
ptg000266l ,151608,79823,52.65091552
ptg000285l ,497030,343975,69.20608414
ptg000288l,41950,0,0
ptg000333l ,168355,168314,99.9756467
ptg000379l ,35206,35102,99.70459581
ptg000388l ,47609,5392,11.3255897
ptg000578l,48084,0,0
