C. tibetense,,,,C. westwoodii,,,,P. bioculatum,,,,C. oyae,,,,P. giganteum,,
1,65,65,,247,312,66,,1,66,66,,1,65,65,,1,65,65
63,131,69,,310,378,69,,64,131,68,,63,131,69,,63,131,69
131,193,63,,378,441,64,,131,195,65,,131,194,64,,131,194,64
1212,1278,67,,1461,1524,64,,1190,1252,63,,1210,1276,67,,1192,1256,65
1271,1332,62,,1517,1579,63,,1245,1306,62,,1269,1337,69,,1249,1310,62
1334,1397,64,,1581,1642,62,,1308,1374,67,,1339,1402,64,,1312,1375,64
2933,2995,63,,3178,3240,63,,2910,2973,64,,2938,3000,63,,2911,2973,63
3663,3732,70,,3908,3978,71,,3626,3694,69,,3668,3738,71,,3641,3709,69
3732,3795,64,,3978,4041,64,,3694,3759,66,,3738,3801,64,,3709,3772,64
5401,5464,64,,5647,5709,63,,5365,5426,62,,5407,5469,63,,5375,5436,62
5817,5880,64,,6062,6125,64,,5779,5841,63,,5822,5885,64,,5789,5854,66
5882,5943,62,,6127,6188,62,,5842,5907,66,,5887,5949,63,,5855,5918,64
5946,6010,65,,6191,6255,65,,5910,5973,64,,5952,6015,64,,5921,5985,65
6011,6073,63,,6255,6318,64,,5972,6033,62,,6015,6080,66,,5986,6048,63
6074,6138,65,,6318,6381,64,,6033,6098,66,,6080,6143,64,,6049,6113,65
6139,6203,65,,6382,6447,66,,6097,6163,67,,6145,6210,66,,6112,6176,65
7928,7993,66,,8172,8235,64,,7886,7950,65,,7935,7999,65,,7895,7957,63
9611,9675,65,,9853,9916,64,,9564,9624,61,,9614,9677,64,,9574,9636,63
9676,9738,63,,9917,9979,63,,9625,9689,65,,9678,9740,63,,9637,9698,62
11345,11410,66,,11588,11650,63,,11298,11357,60,,11349,11411,63,,11312,11373,62
12377,12439,63,,12619,12683,65,,12525,12590,66,,12377,12439,63,,12358,12423,66
13712,13781,70,,13964,14033,70,,13860,13927,68,,13711,13780,70,,13716,13784,69
,,64.90909091,,,,64.68181818,,,,64.77272727,,,,65.18181818,,,64.54545455,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,70.16666667,0.897527468,,,,,,,,,,,,,,,
